,T_in,m_flow_in
813,317.4162,11.732413000000001
814,316.46436,11.993241000000001
815,315.57645,12.243525
816,314.78708,12.481859
817,314.12714,12.706901
818,313.62277,12.917371000000001
819,313.2941,13.1120615
820,313.15457000000004,13.289847
821,313.21027000000004,13.449688
822,313.45972,13.590638
823,313.89374,13.711851999999999
824,314.49588,13.812586999999999
825,315.24292,13.892213
826,316.10582999999997,13.950213
827,317.05075,13.986189999999999
828,318.04044,13.999865
829,319.03555,13.991087
830,319.99646,13.959828
831,320.88455,13.906189999999999
832,321.66397,13.8303995
833,322.303,13.732812
834,322.77547999999996,13.613907999999999
835,323.06174,13.474293
836,323.14957000000004,13.314694
837,323.03472999999997,13.135959
838,322.72122,12.939047
839,322.2212,12.725029
840,321.55438,12.495082
841,320.74753,12.25048
842,319.83328,11.992588
843,318.84885,11.722859
844,317.83453,11.442821499999999
845,316.83215,11.154072
846,315.88318,10.858267999999999
847,315.02716000000004,10.5571165
848,314.3,10.252366
849,313.7324,9.945797
850,313.34854,9.639208
851,313.16513,9.33441
852,313.1905,9.033211999999999
853,313.4243,8.737411999999999
854,313.85733,8.448787
855,314.472,8.169079
856,315.2429,7.899986
857,316.13782000000003,7.643153999999999
858,317.1192,7.4001637
859,318.14554,7.172519
860,319.17316,6.961643
861,320.15814,6.7688622
862,321.05814,6.595402
863,321.8342,6.442377
864,322.45255,6.310784
865,322.88599999999997,6.2014933
866,323.11517000000003,6.1152453
867,323.12955,6.052642
868,322.92773,6.014144
869,322.51788,6.000066
870,321.9171,6.010574
871,321.15115,6.045683400000001
872,320.25293,6.105256
873,319.2615,6.1890035
874,318.22012,6.296483
875,317.17456,6.4271025999999996
876,316.17096000000004,6.5801234
877,315.25388,6.7546615999999995
878,314.4643,6.949692999999999
879,313.8377,7.164061
880,313.40256,7.396478999999999
881,313.17883,7.645540700000001
882,313.17728,7.909727
883,313.39862,8.187414
884,313.83367999999996,8.476886
885,314.4635,8.776338
886,315.26027999999997,9.083897
887,316.18857,9.397625999999999
888,317.20667000000003,9.715537
889,318.26867999999996,10.035606
890,319.3264,10.355785000000001
891,320.33157,10.674014999999999
892,321.2381,10.9882345
893,322.0042,11.296401
894,322.59427,11.596499
895,322.9806,11.886557
896,323.1447,12.164653999999999
897,323.07842999999997,12.428942
898,322.78403,12.6776495
899,322.27443999999997,12.9091
900,321.57272,13.121720999999999
901,320.71094,13.314057
902,319.72876,13.484777
903,318.67175,13.632685999999998
904,317.5892,13.756734
905,316.5319,13.856025
906,315.54962,13.929820999999999
907,314.68892999999997,13.977552
908,313.99088,13.998818
909,313.48897999999997,13.993395999999999
910,313.2077,13.961236999999999
911,313.16104,13.902475
912,313.35200000000003,13.817422
913,313.77213,13.706570000000001
914,314.4021,13.570585999999999
915,315.21234,13.410314999999999
916,316.1645,13.226766
917,317.21317,13.021115
918,318.30804,12.794694
919,319.39642000000003,12.548985
920,320.42554,12.285605
921,321.3453,12.006307000000001
922,322.11062999999996,11.712957000000001
923,322.68375,11.407532000000002
924,323.03612999999996,11.092098
925,323.14984,10.768804
926,323.01862,10.439861
927,322.6481,10.107536
928,322.05585,9.774127
929,321.2704,9.441951
930,320.32993,9.11333
931,319.2806,8.790571
932,318.17413,8.475956
933,317.06537000000003,8.171716
934,316.00952,7.880022
935,315.05948,7.602969
936,314.26306,7.342558400000001
937,313.66067999999996,7.100682000000001
938,313.2831,6.8791113
939,313.15012,6.6794825
940,313.26904,6.5032825
941,313.6347,6.351839
942,314.2293,6.22631
943,315.02335,6.127671
944,315.97708,6.0567107
945,317.04242,6.014024299999999
946,318.16534,6.0000029999999995
947,319.28854,6.0148335
948,320.35455,6.058496
949,321.3084,6.1307597000000005
950,322.10077,6.231185
951,322.6903,6.3591256
952,323.04593,6.513731
953,323.1486,6.69395
954,322.99222000000003,6.8985405
955,322.58417000000003,7.1260743
956,321.94492,7.3749460000000004
957,321.10715,7.643388000000001
958,320.11404,7.929475999999999
959,319.01712000000003,8.231148
960,317.8737,8.546213999999999
961,316.74365,8.872377
962,315.68658,9.207244000000001
963,314.75847999999996,9.548344
964,314.00882,9.893148
965,313.47778,10.23909
966,313.19424,10.583578
967,313.17400000000004,10.924022
968,313.41888,11.257847
969,313.9166,11.582517999999999
970,314.64124,11.895553999999999
971,315.55463,12.194552
972,316.60828,12.477203999999999
973,317.74588,12.741315
974,318.90634,12.984817999999999
975,320.02707000000004,13.205798000000001
976,321.0473,13.402498999999999
977,321.91138,13.573343
978,322.57193,13.716947
979,322.99242999999996,13.832123999999999
980,323.14923,13.917907999999999
981,323.033,13.973548999999998
982,322.64932000000005,13.998531
983,322.0185,13.992572000000001
984,321.17447000000004,13.955627999999999
985,320.1631,13.887897500000001
986,319.0397,13.789819
987,317.8661,13.662070000000002
988,316.7071,13.505566
989,315.62703999999997,13.321449
990,314.68625,13.111087
991,313.9375,12.876058
992,313.42312999999996,12.618144000000001
993,313.17255,12.339317
994,313.20052999999996,12.041722
995,313.50635,11.727666000000001
996,314.07355,11.399595
997,314.8709,11.060080000000001
998,315.8541,10.711793
999,316.96805,10.357494
1000,318.15,10.0
1001,318.15,10.0
